strain	drug	conc	fConc	AUC	normAUCmon	vector
5001pSG62#4	Niclosamide	0	0	1.0000000000000002	1.0000000000000002	Ri C7GA87
5001pSG62#4	Nifurtimox	0	0	1	1	Ri C7GA87
5001pSG67#1	Niclosamide	0	0	1	1	Pv2039
5001pSG67#2	Nifurtimox	0	0	1	1	Pv2039
5001pSG68#1	Nifurtimox	0	0	1	1	Pv0975
5001pSG68#4	Niclosamide	0	0	1	1	Pv0975
5001pSG69#1	Niclosamide	0	0	1	1	Pv1605
5001pSG69#2	Nifurtimox	0	0	1	1	Pv1605
5001pSG70#1	Niclosamide	0	0	1	1	Pv2535
5001pSG70#2	Nifurtimox	0	0	0.9999999999999999	0.9999999999999999	Pv2535
5001pSG71#1	Nifurtimox	0	0	1	1	Pv2494
5001pSG71#2	Niclosamide	0	0	1	1	Pv2494
5001pSG72#1	Niclosamide	0	0	0.9999999999999999	0.9999999999999999	Pv0002
5001pSG72#4	Nifurtimox	0	0	1	1	Pv0002
5001pSG73#3	Niclosamide	0	0	1	1	Pv1973
5001pSG73#3	Nifurtimox	0	0	1	1	Pv1973
5001pSG75#2	Niclosamide	0	0	1	1	Ri C7GB41
5001pSG75#2	Nifurtimox	0	0	1	1	Ri C7GB41
5001pww3864	Nifurtimox	0	0	1	1	empty plasmid
5001pww3864#1	Niclosamide	0	0	1	1	empty plasmid
5001pSG62#4	Niclosamide	0.08	0.08	0.9844900456074233	0.9844900456074233	Ri C7GA87
5001pSG62#4	Nifurtimox	0.08	0.08	0.9666089344743811	0.9666089344743811	Ri C7GA87
5001pSG67#1	Niclosamide	0.08	0.08	0.9486850545221297	0.9486850545221297	Pv2039
5001pSG67#2	Nifurtimox	0.08	0.08	0.9754972755899625	0.9754972755899625	Pv2039
5001pSG68#1	Nifurtimox	0.08	0.08	0.981445467226897	0.981445467226897	Pv0975
5001pSG68#4	Niclosamide	0.08	0.08	0.9447236180904524	0.9447236180904524	Pv0975
5001pSG69#1	Niclosamide	0.08	0.08	0.9397661977412322	0.9397661977412322	Pv1605
5001pSG69#2	Nifurtimox	0.08	0.08	0.9631812812143374	0.9631812812143374	Pv1605
5001pSG70#1	Niclosamide	0.08	0.08	0.9414153846153848	0.9414153846153848	Pv2535
5001pSG70#2	Nifurtimox	0.08	0.08	0.9512781894234414	0.9512781894234414	Pv2535
5001pSG71#1	Nifurtimox	0.08	0.08	0.9813310832586136	0.9813310832586136	Pv2494
5001pSG71#2	Niclosamide	0.08	0.08	0.9782644089873005	0.9782644089873005	Pv2494
5001pSG72#1	Niclosamide	0.08	0.08	0.9784346252450611	0.9784346252450611	Pv0002
5001pSG72#4	Nifurtimox	0.08	0.08	0.9650743089472026	0.9650743089472026	Pv0002
5001pSG73#3	Niclosamide	0.08	0.08	1.0042169036040152	1.0042169036040152	Pv1973
5001pSG73#3	Nifurtimox	0.08	0.08	0.9679506634076881	0.9679506634076881	Pv1973
5001pSG75#2	Niclosamide	0.08	0.08	0.9661320362620314	0.9661320362620314	Ri C7GB41
5001pSG75#2	Nifurtimox	0.08	0.08	0.9537280495028309	0.9537280495028309	Ri C7GB41
5001pww3864	Nifurtimox	0.08	0.08	0.9753967715238768	0.9753967715238768	empty plasmid
5001pww3864#1	Niclosamide	0.08	0.08	0.9991500212494688	0.9991500212494688	empty plasmid
5001pSG62#4	Niclosamide	0.16	0.16	0.9892279616184996	0.9892279616184996	Ri C7GA87
5001pSG62#4	Nifurtimox	0.16	0.16	0.9548683914168596	0.9548683914168596	Ri C7GA87
5001pSG67#1	Niclosamide	0.16	0.16	0.9497541158862519	0.9497541158862519	Pv2039
5001pSG67#2	Nifurtimox	0.16	0.16	0.9554831765175222	0.9554831765175222	Pv2039
5001pSG68#1	Nifurtimox	0.16	0.16	0.9598581157436621	0.9598581157436621	Pv0975
5001pSG68#4	Niclosamide	0.16	0.16	0.8197654941373533	0.8197654941373533	Pv0975
5001pSG69#1	Niclosamide	0.16	0.16	0.8071131365167425	0.8071131365167425	Pv1605
5001pSG69#2	Nifurtimox	0.16	0.16	0.9602698943936612	0.9602698943936612	Pv1605
5001pSG70#1	Niclosamide	0.16	0.16	0.8552615384615385	0.8552615384615385	Pv2535
5001pSG70#2	Nifurtimox	0.16	0.16	0.9449057694872811	0.9449057694872811	Pv2535
5001pSG71#1	Nifurtimox	0.16	0.16	0.97083168212693	0.97083168212693	Pv2494
5001pSG71#2	Niclosamide	0.16	0.16	0.9672745034190817	0.9672745034190817	Pv2494
5001pSG72#1	Niclosamide	0.16	0.16	0.9435228472326949	0.9435228472326949	Pv0002
5001pSG72#4	Nifurtimox	0.16	0.16	0.9466730470419903	0.9466730470419903	Pv0002
5001pSG73#3	Niclosamide	0.16	0.16	1.0032299471998298	1.0032299471998298	Pv1973
5001pSG73#3	Nifurtimox	0.16	0.16	0.9473195643713921	0.9473195643713921	Pv1973
5001pSG75#2	Niclosamide	0.16	0.16	0.9560063207535523	0.9560063207535523	Ri C7GB41
5001pSG75#2	Nifurtimox	0.16	0.16	0.9347926227433655	0.9347926227433655	Ri C7GB41
5001pww3864	Nifurtimox	0.16	0.16	0.9608014184695621	0.9608014184695621	empty plasmid
5001pww3864#1	Niclosamide	0.16	0.16	0.9540161495962602	0.9540161495962602	empty plasmid
5001pSG62#4	Niclosamide	0.32	0.32	0.9685309907491815	0.9685309907491815	Ri C7GA87
5001pSG62#4	Nifurtimox	0.32	0.32	0.9407169706685156	0.9407169706685156	Ri C7GA87
5001pSG67#1	Niclosamide	0.32	0.32	0.9455847765661751	0.9455847765661751	Pv2039
5001pSG67#2	Nifurtimox	0.32	0.32	0.9423246780970802	0.9423246780970802	Pv2039
5001pSG68#1	Nifurtimox	0.32	0.32	0.952810917623175	0.952810917623175	Pv0975
5001pSG68#4	Niclosamide	0.32	0.32	0.34514237855946395	0.34514237855946395	Pv0975
5001pSG69#1	Niclosamide	0.32	0.32	0.41321577174559143	0.41321577174559143	Pv1605
5001pSG69#2	Nifurtimox	0.32	0.32	0.9262595802274491	0.9262595802274491	Pv1605
5001pSG70#1	Niclosamide	0.32	0.32	0.40627692307692315	0.40627692307692315	Pv2535
5001pSG70#2	Nifurtimox	0.32	0.32	0.9195668531213625	0.9195668531213625	Pv2535
5001pSG71#1	Nifurtimox	0.32	0.32	0.9632627418233262	0.9632627418233262	Pv2494
5001pSG71#2	Niclosamide	0.32	0.32	0.8922175187235429	0.8922175187235429	Pv2494
5001pSG72#1	Niclosamide	0.32	0.32	0.5331020962147489	0.5331020962147489	Pv0002
5001pSG72#4	Nifurtimox	0.32	0.32	0.9513767336303587	0.9513767336303587	Pv0002
5001pSG73#3	Niclosamide	0.32	0.32	0.9887197519366091	0.9887197519366091	Pv1973
5001pSG73#3	Nifurtimox	0.32	0.32	0.9528914236438589	0.9528914236438589	Pv1973
5001pSG75#2	Niclosamide	0.32	0.32	0.920996033068734	0.920996033068734	Ri C7GB41
5001pSG75#2	Nifurtimox	0.32	0.32	0.9037574463000734	0.9037574463000734	Ri C7GB41
5001pww3864	Nifurtimox	0.32	0.32	0.9420456064999778	0.9420456064999778	empty plasmid
5001pww3864#1	Niclosamide	0.32	0.32	0.36081597960050993	0.36081597960050993	empty plasmid
5001pSG62#4	Niclosamide	0.625	0.625	0.9413485183628505	0.9413485183628505	Ri C7GA87
5001pSG62#4	Nifurtimox	0.625	0.625	0.9012585643763882	0.9012585643763882	Ri C7GA87
5001pSG67#1	Niclosamide	0.625	0.625	0.9233483001924312	0.9233483001924312	Pv2039
5001pSG67#2	Nifurtimox	0.625	0.625	0.890619031315069	0.890619031315069	Pv2039
5001pSG68#1	Nifurtimox	0.625	0.625	0.9248582522217953	0.9248582522217953	Pv0975
5001pSG68#4	Niclosamide	0.625	0.625	0.00460636515912898	0.00460636515912898	Pv0975
5001pSG69#1	Niclosamide	0.625	0.625	0.009312462849217355	0.009312462849217355	Pv1605
5001pSG69#2	Nifurtimox	0.625	0.625	0.9016685504572669	0.9016685504572669	Pv1605
5001pSG70#1	Niclosamide	0.625	0.625	0.0067692307692307704	0.0067692307692307704	Pv2535
5001pSG70#2	Nifurtimox	0.625	0.625	0.8873277604996938	0.8873277604996938	Pv2535
5001pSG71#1	Nifurtimox	0.625	0.625	0.9388798169876978	0.9388798169876978	Pv2494
5001pSG71#2	Niclosamide	0.625	0.625	0.4202214262455226	0.4202214262455226	Pv2494
5001pSG72#1	Niclosamide	0.625	0.625	0.019152465691449252	0.019152465691449252	Pv0002
5001pSG72#4	Nifurtimox	0.625	0.625	0.9227225732808275	0.9227225732808275	Pv0002
5001pSG73#3	Niclosamide	0.625	0.625	0.8447023039367925	0.8447023039367925	Pv1973
5001pSG73#3	Nifurtimox	0.625	0.625	0.9364444955712125	0.9364444955712125	Pv1973
5001pSG75#2	Niclosamide	0.625	0.625	0.8080418626470625	0.8080418626470625	Ri C7GB41
5001pSG75#2	Nifurtimox	0.625	0.625	0.8579939784353463	0.8579939784353463	Ri C7GB41
5001pww3864	Nifurtimox	0.625	0.625	0.9183080409559895	0.9183080409559895	empty plasmid
5001pww3864#1	Niclosamide	0.625	0.625	0.015299617509562265	0.015299617509562265	empty plasmid
5001pSG62#4	Niclosamide	1.25	1.25	0.777543812335852	0.777543812335852	Ri C7GA87
5001pSG62#4	Nifurtimox	1.25	1.25	0.840241544329998	0.840241544329998	Ri C7GA87
5001pSG67#1	Niclosamide	1.25	1.25	0.8809065640367759	0.8809065640367759	Pv2039
5001pSG67#2	Nifurtimox	1.25	1.25	0.8046489428697373	0.8046489428697373	Pv2039
5001pSG68#1	Nifurtimox	1.25	1.25	0.8751272648013725	0.8751272648013725	Pv0975
5001pSG68#4	Niclosamide	1.25	1.25	0.00217755443886097	0.00217755443886097	Pv0975
5001pSG69#1	Niclosamide	1.25	1.25	0.008321775312066574	0.008321775312066574	Pv1605
5001pSG69#2	Nifurtimox	1.25	1.25	0.8263252031803525	0.8263252031803525	Pv1605
5001pSG70#1	Niclosamide	1.25	1.25	0.007261538461538465	0.007261538461538465	Pv2535
5001pSG70#2	Nifurtimox	1.25	1.25	0.8149923247124424	0.8149923247124424	Pv2535
5001pSG71#1	Nifurtimox	1.25	1.25	0.8544874433261056	0.8544874433261056	Pv2494
5001pSG71#2	Niclosamide	1.25	1.25	0.01913057635949203	0.01913057635949203	Pv2494
5001pSG72#1	Niclosamide	1.25	1.25	0.008822198763384106	0.008822198763384106	Pv0002
5001pSG72#4	Nifurtimox	1.25	1.25	0.8756996278888469	0.8756996278888469	Pv0002
5001pSG73#3	Niclosamide	1.25	1.25	0.47270821471768554	0.47270821471768554	Pv1973
5001pSG73#3	Nifurtimox	1.25	1.25	0.9062176454077395	0.9062176454077395	Pv1973
5001pSG75#2	Niclosamide	1.25	1.25	0.5610924286754811	0.5610924286754811	Ri C7GB41
5001pSG75#2	Nifurtimox	1.25	1.25	0.7602112161075458	0.7602112161075458	Ri C7GB41
5001pww3864	Nifurtimox	1.25	1.25	0.8741502783442741	0.8741502783442741	empty plasmid
5001pww3864#1	Niclosamide	1.25	1.25	0.019634509137271574	0.019634509137271574	empty plasmid
5001pSG62#4	Niclosamide	2.5	2.5	0.5450137015080736	0.5450137015080736	Ri C7GA87
5001pSG62#4	Nifurtimox	2.5	2.5	0.6796651261501538	0.6796651261501538	Ri C7GA87
5001pSG67#1	Niclosamide	2.5	2.5	0.7547573230703443	0.7547573230703443	Pv2039
5001pSG67#2	Nifurtimox	2.5	2.5	0.5939682441625711	0.5939682441625711	Pv2039
5001pSG68#1	Nifurtimox	2.5	2.5	0.7481862539103035	0.7481862539103035	Pv0975
5001pSG68#4	Niclosamide	2.5	2.5	0.00217755443886097	0.00217755443886097	Pv0975
5001pSG69#1	Niclosamide	2.5	2.5	0.009510600356647515	0.009510600356647515	Pv1605
5001pSG69#2	Nifurtimox	2.5	2.5	0.6615989702865068	0.6615989702865068	Pv1605
5001pSG70#1	Niclosamide	2.5	2.5	0.010830769230769234	0.010830769230769234	Pv2535
5001pSG70#2	Nifurtimox	2.5	2.5	0.6611301407920743	0.6611301407920743	Pv2535
5001pSG71#1	Nifurtimox	2.5	2.5	0.7078343150678326	0.7078343150678326	Pv2494
5001pSG71#2	Niclosamide	2.5	2.5	0.008629111038749596	0.008629111038749596	Pv2494
5001pSG72#1	Niclosamide	2.5	2.5	0.008445181722213846	0.008445181722213846	Pv0002
5001pSG72#4	Nifurtimox	2.5	2.5	0.7325611158001188	0.7325611158001188	Pv0002
5001pSG73#3	Niclosamide	2.5	2.5	0.14159156973761908	0.14159156973761908	Pv1973
5001pSG73#3	Nifurtimox	2.5	2.5	0.7788473214205306	0.7788473214205306	Pv1973
5001pSG75#2	Niclosamide	2.5	2.5	0.21179762889440307	0.21179762889440307	Ri C7GB41
5001pSG75#2	Nifurtimox	2.5	2.5	0.5725457193182942	0.5725457193182942	Ri C7GB41
5001pww3864	Nifurtimox	2.5	2.5	0.759004863360167	0.759004863360167	empty plasmid
5001pww3864#1	Niclosamide	2.5	2.5	0.01665958351041224	0.01665958351041224	empty plasmid
5001pSG62#4	Niclosamide	5	5	0.13579956722590758	0.13579956722590758	Ri C7GA87
5001pSG62#4	Nifurtimox	5	5	0.3479901577561495	0.3479901577561495	Ri C7GA87
5001pSG67#1	Niclosamide	5	5	0.5764378875347446	0.5764378875347446	Pv2039
5001pSG67#2	Nifurtimox	5	5	0.29191527425325864	0.29191527425325864	Pv2039
5001pSG68#1	Nifurtimox	5	5	0.5372106498026383	0.5372106498026383	Pv0975
5001pSG68#4	Niclosamide	5	5	0.00670016750418761	0.00670016750418761	Pv0975
5001pSG69#1	Niclosamide	5	5	0.011293837923518926	0.011293837923518926	Pv1605
5001pSG69#2	Nifurtimox	5	5	0.40481780214113094	0.40481780214113094	Pv1605
5001pSG70#1	Niclosamide	5	5	0.00246153846153846	0.00246153846153846	Pv2535
5001pSG70#2	Nifurtimox	5	5	0.42799292954942014	0.42799292954942014	Pv2535
5001pSG71#1	Nifurtimox	5	5	0.4281556630732939	0.4281556630732939	Pv2494
5001pSG71#2	Niclosamide	5	5	0.019781830022793895	0.019781830022793895	Pv2494
5001pSG72#1	Niclosamide	5	5	0.007464937415171165	0.007464937415171165	Pv0002
5001pSG72#4	Nifurtimox	5	5	0.4939989141588016	0.4939989141588016	Pv0002
5001pSG73#3	Niclosamide	5	5	0.006354830148504102	0.006354830148504102	Pv1973
5001pSG73#3	Nifurtimox	5	5	0.5256879907347995	0.5256879907347995	Pv1973
5001pSG75#2	Niclosamide	5	5	0.007419395989448947	0.007419395989448947	Ri C7GB41
5001pSG75#2	Nifurtimox	5	5	0.2803327707899121	0.2803327707899121	Ri C7GB41
5001pww3864	Nifurtimox	5	5	0.5432268951001442	0.5432268951001442	empty plasmid
5001pww3864#1	Niclosamide	5	5	0.020144496387590315	0.020144496387590315	empty plasmid
5001pSG62#4	Niclosamide	10	10	0.008258778524358775	0.008258778524358775	Ri C7GA87
5001pSG62#4	Nifurtimox	10	10	0.016481829446545096	0.016481829446545096	Ri C7GA87
5001pSG67#1	Niclosamide	10	10	0.1484926234765876	0.1484926234765876	Pv2039
5001pSG67#2	Nifurtimox	10	10	0.00895432193248168	0.00895432193248168	Pv2039
5001pSG68#1	Nifurtimox	10	10	0.1902406083130916	0.1902406083130916	Pv0975
5001pSG68#4	Niclosamide	10	10	0.00251256281407035	0.00251256281407035	Pv0975
5001pSG69#1	Niclosamide	10	10	0.012086387953239554	0.012086387953239554	Pv1605
5001pSG69#2	Nifurtimox	10	10	0.09117834507260922	0.09117834507260922	Pv1605
5001pSG70#1	Niclosamide	10	10	0.010584615384615385	0.010584615384615385	Pv2535
5001pSG70#2	Nifurtimox	10	10	0.09944100470650358	0.09944100470650358	Pv2535
5001pSG71#1	Nifurtimox	10	10	0.05811184530185129	0.05811184530185129	Pv2494
5001pSG71#2	Niclosamide	10	10	0.015385867795506356	0.015385867795506356	Pv2494
5001pSG72#1	Niclosamide	10	10	0.010405670336299206	0.010405670336299206	Pv0002
5001pSG72#4	Nifurtimox	10	10	0.11669033621556493	0.11669033621556493	Pv0002
5001pSG73#3	Niclosamide	10	10	0.01183267938840499	0.01183267938840499	Pv1973
5001pSG73#3	Nifurtimox	10	10	0.03172120184826097	0.03172120184826097	Pv1973
5001pSG75#2	Niclosamide	10	10	0.009965597981967727	0.009965597981967727	Ri C7GB41
5001pSG75#2	Nifurtimox	10	10	0.009496887815565545	0.009496887815565545	Ri C7GB41
5001pww3864	Nifurtimox	10	10	0.1794025610385404	0.1794025610385404	empty plasmid
5001pww3864#1	Niclosamide	10	10	0.00926476838079048	0.00926476838079048	empty plasmid
5001pSG62#4	Niclosamide	20	20	0.01348345583747345	0.01348345583747345	Ri C7GA87
5001pSG62#4	Nifurtimox	20	20	0.01294205712588709	0.01294205712588709	Ri C7GA87
5001pSG67#1	Niclosamide	20	20	0.01507376523412445	0.01507376523412445	Pv2039
5001pSG67#2	Nifurtimox	20	20	0.01117428968464175	0.01117428968464175	Pv2039
5001pSG68#1	Nifurtimox	20	20	0.04482775732618079	0.04482775732618079	Pv0975
5001pSG68#4	Niclosamide	20	20	0.007956448911222784	0.007956448911222784	Pv0975
5001pSG69#1	Niclosamide	20	20	0.015652863086982376	0.015652863086982376	Pv1605
5001pSG69#2	Nifurtimox	20	20	0.05708425896640054	0.05708425896640054	Pv1605
5001pSG70#1	Niclosamide	20	20	0.0070153846153846195	0.0070153846153846195	Pv2535
5001pSG70#2	Nifurtimox	20	20	0.05758776238924729	0.05758776238924729	Pv2535
5001pSG71#1	Nifurtimox	20	20	0.05104060429036977	0.05104060429036977	Pv2494
5001pSG71#2	Niclosamide	20	20	0.011966786063171614	0.011966786063171614	Pv2494
5001pSG72#1	Niclosamide	20	20	0.009123812396320315	0.009123812396320315	Pv0002
5001pSG72#4	Nifurtimox	20	20	0.01245071657498423	0.01245071657498423	Pv0002
5001pSG73#3	Niclosamide	20	20	0.015600302352213949	0.015600302352213949	Pv1973
5001pSG73#3	Nifurtimox	20	20	0.016020594493112883	0.016020594493112883	Pv1973
5001pSG75#2	Niclosamide	20	20	0.009598327633955945	0.009598327633955945	Ri C7GB41
5001pSG75#2	Nifurtimox	20	20	0.011886004226299098	0.011886004226299098	Ri C7GB41
5001pww3864	Nifurtimox	20	20	0.011737032547259024	0.011737032547259024	empty plasmid
5001pww3864#1	Niclosamide	20	20	0.010454738631534215	0.010454738631534215	empty plasmid
5001pSG62#4	Niclosamide	40	40	0.015945220009773272	0.015945220009773272	Ri C7GA87
5001pSG62#4	Nifurtimox	40	40	0.009936073573999834	0.009936073573999834	Ri C7GA87
5001pSG67#1	Niclosamide	40	40	0.030147530468248897	0.030147530468248897	Pv2039
5001pSG67#2	Nifurtimox	40	40	0.013108498446660666	0.013108498446660666	Pv2039
5001pSG68#1	Nifurtimox	40	40	0.04288593970474859	0.04288593970474859	Pv0975
5001pSG68#4	Niclosamide	40	40	0.007956448911222786	0.007956448911222786	Pv0975
5001pSG69#1	Niclosamide	40	40	0.011591044184664119	0.011591044184664119	Pv1605
5001pSG69#2	Nifurtimox	40	40	0.049310827543615605	0.049310827543615605	Pv1605
5001pSG70#1	Niclosamide	40	40	0.01206153846153847	0.01206153846153847	Pv2535
5001pSG70#2	Nifurtimox	40	40	0.049122812701395395	0.049122812701395395	Pv2535
5001pSG71#1	Nifurtimox	40	40	0.04167338223575126	0.04167338223575126	Pv2494
5001pSG71#2	Niclosamide	40	40	0.013513513513513476	0.013513513513513476	Pv2494
5001pSG72#1	Niclosamide	40	40	0.01048107374453322	0.01048107374453322	Pv0002
5001pSG72#4	Nifurtimox	40	40	0.011949728832763386	0.011949728832763386	Pv0002
5001pSG73#3	Niclosamide	40	40	0.014991060662032237	0.014991060662032237	Pv1973
5001pSG73#3	Nifurtimox	40	40	0.011039429187029647	0.011039429187029647	Pv1973
5001pSG75#2	Niclosamide	40	40	0.013178915184211284	0.013178915184211284	Ri C7GB41
5001pSG75#2	Nifurtimox	40	40	0.012682234900683325	0.012682234900683325	Ri C7GB41
5001pww3864	Nifurtimox	40	40	0.012096814278065113	0.012096814278065113	empty plasmid
5001pww3864#1	Niclosamide	40	40	0.0133446663833404	0.0133446663833404	empty plasmid
