Replicate	Concentration (uM)	Aminoniclosamide	Niclosamide
1	10	793612	5611296
1	5	111751	2550429
1	2.5	172901	1182745
1	1.25	84422	550990
1	0.625	41798	242805
1	0.3125	21404	112502
1	0.15625	12100	48821
1	0.078125	6707	17956
2	10	718465	4925654
2	5	321387	2293058
2	2.5	159502	1078301
2	1.25	74938	485800
2	0.625	38034	184069
2	0.3125	17338	70738
2	0.15625	10707	40308
2	0.078125	5449	7477
3	10	752459	5120684
3	5	328436	2324238
3	2.5	166562	1084840
3	1.25	87104	478743
3	0.625	43943	223854
3	0.3125	19866	86388
3	0.15625	10318	38043
3	0.078125	6268	43217